Group,Item,N,Mean.correct,SE.correct,RT.median.corr,RT.IQR.corr,IES
tf1,37,51,35,7,10874,13620,30810
tf2,37,64,38,6,8966,9177,23911
tf3,37,61,34,6,5840,8744,16964
total,38,156,83,3,4240,2509,5087
tf1,38,44,89,5,4325,2157,4879
tf2,38,56,80,5,3608,2767,4490
tf3,38,56,82,5,4346,2273,5290
total,39,135,41,4,5448,7342,13372
tf1,39,37,41,8,4238,6480,10454
tf2,39,51,41,7,7476,9687,18156
tf3,39,47,40,7,4911,6205,12148
total,40,122,44,5,5020,4839,11341
tf1,40,31,45,9,5888,9157,13037
tf2,40,44,45,8,4336,3887,9539
tf3,40,47,43,7,6465,4790,15193
total,41,113,84,3,4248,2618,5053
tf1,41,30,90,6,3838,1860,4264
tf2,41,39,77,7,4309,2310,5602
tf3,41,44,86,5,4882,3540,5652
total,42,106,27,4,5674,6414,20739
tf1,42,29,24,8,5674,2055,23507
tf2,42,36,28,8,6110,7832,21994
tf3,42,41,29,7,6082,8162,20778
total,43,91,33,5,4720,4510,14319
tf1,43,26,35,10,2054,4080,5934
tf2,43,29,34,9,5012,3790,14533
tf3,43,36,31,8,4835,4170,15824
total,44,83,19,4,2424,4126,12574
tf1,44,21,10,7,2906,2376,30508
tf2,44,27,19,8,1742,3654,9407
tf3,44,35,26,7,2581,4945,10037
total,45,73,33,6,6316,7412,19210
tf1,45,18,17,9,8092,1836,48552
tf2,45,22,32,10,6096,4845,19159
tf3,45,33,42,9,6198,9989,14608
total,46,61,38,6,4185,5728,11099
tf1,46,16,38,12,6602,9606,17607
tf2,46,20,35,11,4185,3032,11957
tf3,46,25,40,10,4584,4782,11461
total,47,57,21,5,5035,7364,23916
tf1,47,16,6,6,626,0,10016
tf2,47,16,19,10,1652,4624,8811
tf3,47,25,32,10,6692,5862,20911
total,48,49,33,7,2942,6569,9010
tf1,48,14,43,14,5672,6451,13236
tf2,48,14,14,10,1551,23,10857
tf3,48,21,38,11,4266,5816,11200
total,49,47,47,7,4181,2674,8932
tf1,49,13,46,14,4454,2999,9649
tf2,49,13,23,12,3883,2462,16826
tf3,49,21,62,11,4394,2698,7098
total,50,46,37,7,4021,4195,10880
tf1,50,14,43,14,3294,3588,7686
tf2,50,12,50,15,3068,1644,6137
tf3,50,20,25,10,6463,3936,25852
total,51,41,29,7,5712,3462,19516
tf1,51,11,18,12,2365,1572,13008
tf2,51,11,45,16,4643,2898,10215
tf3,51,19,26,10,8132,3524,30902
total,52,35,37,8,1757,2072,4730
tf1,52,10,40,16,2413,2345,6032
tf2,52,11,45,16,1902,2112,4184
tf3,52,14,29,13,1526,863,5341
total,53,30,20,7,1286,1058,6432
tf1,53,8,12,12,2309,0,18472
tf2,53,8,38,18,1130,220,3013
tf3,53,14,14,10,4039,3068,28273
total,54,30,13,6,1612,1382,12094
tf1,54,9,22,15,775,371,3488
tf2,54,7,29,18,2605,526,9118
tf3,54,14,0,0,NA,NA,NA
total,55,28,36,9,2770,3133,7755
tf1,55,8,38,18,4102,3654,10939
tf2,55,7,29,18,706,44,2469
tf3,55,13,38,14,3431,2120,8921
total,56,25,20,8,1726,1443,8630
tf1,56,9,44,18,2088,1980,4699
tf2,56,6,0,0,NA,NA,NA
tf3,56,10,10,10,1726,0,17260
total,57,21,43,11,4151,2261,9686
tf1,57,7,43,20,4151,502,9686
tf2,57,5,40,24,2402,1272,6004
tf3,57,9,44,18,7269,5174,16355
total,58,21,43,11,3836,2070,8951
tf1,58,7,71,18,3682,3067,5155
tf2,58,3,0,0,NA,NA,NA
tf3,58,11,36,15,4197,1453,11542
total,59,20,25,10,2806,3091,11224
tf1,59,6,17,17,5040,0,30240
tf2,59,3,67,33,3426,1546,5138
tf3,59,11,18,12,2199,607,12094
total,60,14,50,14,1944,1010,3888
tf1,60,4,50,29,2492,504,4985
tf2,60,2,50,50,1548,0,3096
tf3,60,8,50,19,1680,2150,3361
total,61,16,12,9,1590,1312,12724
tf1,61,5,0,0,NA,NA,NA
tf2,61,2,0,0,NA,NA,NA
tf3,61,9,22,15,1590,1312,7157
total,62,15,27,12,5922,4046,22208
tf1,62,5,20,20,836,0,4180
tf2,62,1,0,NA,NA,NA,NA
tf3,62,9,33,17,7269,2180,21807
total,63,14,14,10,4792,3122,33540
tf1,63,4,0,0,NA,NA,NA
tf2,63,2,50,50,7913,0,15826
tf3,63,8,12,12,1670,0,13360
total,64,11,36,15,1010,452,2779
tf1,64,3,67,33,979,152,1468
tf2,64,2,0,0,NA,NA,NA
tf3,64,6,33,21,1401,511,4203
total,65,9,11,11,849,0,7641
tf1,65,3,33,33,849,0,2547
tf2,65,1,0,NA,NA,NA,NA
tf3,65,5,0,0,NA,NA,NA
total,66,9,22,15,1194,636,5375
tf1,66,3,33,33,559,0,1677
tf2,66,1,0,NA,NA,NA,NA
tf3,66,5,20,20,1830,0,9150
total,67,8,25,16,768,59,3072
tf1,67,4,25,25,709,0,2836
tf2,67,1,0,NA,NA,NA,NA
tf3,67,3,33,33,827,0,2481
total,68,6,100,0,1964,527,1964
tf1,68,3,100,0,2020,618,2020
tf2,68,0,NA,NA,NA,NA,NA
tf3,68,3,100,0,1907,460,1907
total,69,7,57,20,3776,1369,6608
tf1,69,4,50,29,4811,1167,9622
tf2,69,0,NA,NA,NA,NA,NA
tf3,69,3,67,33,2601,1307,3902
total,70,8,50,19,3495,1420,6990
tf1,70,4,50,29,3500,903,7000
tf2,70,0,NA,NA,NA,NA,NA
tf3,70,4,50,29,3495,646,6990
total,71,6,50,22,4439,2121,8878
tf1,71,3,0,0,NA,NA,NA
tf2,71,0,NA,NA,NA,NA,NA
tf3,71,3,100,0,4439,2121,4439
total,72,5,40,24,1164,689,2910
tf1,72,1,0,NA,NA,NA,NA
tf2,72,0,NA,NA,NA,NA,NA
tf3,72,4,50,29,1164,689,2328
total,73,6,17,17,1033,0,6198
tf1,73,2,0,0,NA,NA,NA
tf2,73,0,NA,NA,NA,NA,NA
tf3,73,4,25,25,1033,0,4132
total,74,4,50,29,4274,3827,8548
tf1,74,2,50,50,8101,0,16202
tf2,74,0,NA,NA,NA,NA,NA
tf3,74,2,50,50,447,0,894
total,75,6,50,22,989,524,1978
tf1,75,3,67,33,1144,156,1717
tf2,75,0,NA,NA,NA,NA,NA
tf3,75,3,33,33,251,0,753
total,76,4,75,25,507,327,676
tf1,76,2,50,50,507,0,1014
tf2,76,0,NA,NA,NA,NA,NA
tf3,76,2,100,0,774,327,774
total,77,3,33,33,455,0,1365
tf1,77,1,100,NA,455,0,455
tf2,77,0,NA,NA,NA,NA,NA
tf3,77,2,0,0,NA,NA,NA
total,78,4,25,25,631,0,2524
tf1,78,2,0,0,NA,NA,NA
tf2,78,0,NA,NA,NA,NA,NA
tf3,78,2,50,50,631,0,1262
total,79,5,0,0,NA,NA,NA
tf1,79,3,0,0,NA,NA,NA
tf2,79,0,NA,NA,NA,NA,NA
tf3,79,2,0,0,NA,NA,NA
total,80,3,33,33,640,0,1920
tf1,80,1,0,NA,NA,NA,NA
tf2,80,0,NA,NA,NA,NA,NA
tf3,80,2,50,50,640,0,1280
