subject,trial,dimension,item_set,test_form,item,distractor,accuracy,rt,logrt
0elzwr27vqu4uwbj8gg93lug,8,5,3,1.0,59,pd,0.0,15.189,2.720571481655882
10vsq79n9pi9zrrc7ihh4gpb,1,2,3,1.0,19,pd,0.0,6.973,1.9420455482388737
10vsq79n9pi9zrrc7ihh4gpb,2,2,3,1.0,20,pd,1.0,8.779,2.1723625059440717
10vsq79n9pi9zrrc7ihh4gpb,3,3,3,1.0,11,pd,1.0,17.587,2.8671599927542273
10vsq79n9pi9zrrc7ihh4gpb,4,3,3,1.0,18,pd,1.0,20.583,3.0244654923768635
10vsq79n9pi9zrrc7ihh4gpb,5,4,3,1.0,12,pd,0.0,6.201,1.8247105693677408
10vsq79n9pi9zrrc7ihh4gpb,6,4,3,1.0,23,pd,1.0,8.973,2.1942200683159205
10vsq79n9pi9zrrc7ihh4gpb,7,5,3,1.0,52,pd,1.0,15.749,2.756776871192444
10vsq79n9pi9zrrc7ihh4gpb,8,5,3,1.0,59,pd,1.0,7.102,1.9603764345208963
1fpmgsend1l8bjvx30truqd4,1,2,3,1.0,1,pd,1.0,4.215,1.4386495914538187
1fpmgsend1l8bjvx30truqd4,2,2,3,1.0,6,pd,1.0,16.281,2.7899987837493776
1fpmgsend1l8bjvx30truqd4,3,3,3,1.0,15,pd,1.0,18.008,2.890816103604431
1fpmgsend1l8bjvx30truqd4,4,3,3,1.0,10,pd,0.0,16.399,2.797220357361309
1fpmgsend1l8bjvx30truqd4,5,4,3,1.0,16,pd,1.0,10.672,2.367623489173268
1fpmgsend1l8bjvx30truqd4,6,4,3,1.0,17,pd,1.0,20.289,3.0100788672609124
1fpmgsend1l8bjvx30truqd4,7,5,3,1.0,52,pd,1.0,18.145,2.898395040665034
1fpmgsend1l8bjvx30truqd4,8,5,3,1.0,59,pd,1.0,18.912,2.939796641223688
1gbumjgvj8h8v6uiq4vwef7w,1,2,3,1.0,1,pd,1.0,1.895,0.6392188385343897
1gbumjgvj8h8v6uiq4vwef7w,2,2,3,1.0,6,pd,0.0,10.023,2.304882452042729
1gbumjgvj8h8v6uiq4vwef7w,3,3,3,1.0,15,pd,0.0,14.09,2.645465325910589
1gbumjgvj8h8v6uiq4vwef7w,4,3,3,1.0,10,pd,1.0,7.906,2.0676219648744936
1gbumjgvj8h8v6uiq4vwef7w,5,4,3,1.0,16,pd,1.0,10.746,2.37453359230663
1gbumjgvj8h8v6uiq4vwef7w,6,4,3,1.0,17,pd,1.0,26.165,3.264422639824171
1gbumjgvj8h8v6uiq4vwef7w,7,5,3,1.0,52,pd,0.0,8.893,2.185264450417503
1gbumjgvj8h8v6uiq4vwef7w,8,5,3,1.0,59,pd,0.0,13.32,2.589266665112243
1i2nvqvazywxiayn3v5v16ej,1,2,3,1.0,1,pd,1.0,1.603,0.47187687362741587
1i2nvqvazywxiayn3v5v16ej,2,2,3,1.0,6,pd,0.0,2.646,0.973049065692764
1i2nvqvazywxiayn3v5v16ej,3,3,3,1.0,11,pd,0.0,1.658,0.5056120567131032
1i2nvqvazywxiayn3v5v16ej,4,3,3,1.0,18,pd,0.0,0.838,-0.17673717850005405
1i2nvqvazywxiayn3v5v16ej,5,4,3,1.0,16,pd,0.0,0.977,-0.02326862693935433
1i2nvqvazywxiayn3v5v16ej,6,4,3,1.0,17,pd,0.0,3.295,1.1924061679544706
1i2nvqvazywxiayn3v5v16ej,7,5,3,1.0,14,pd,0.0,2.05,0.7178397931503168
1i2nvqvazywxiayn3v5v16ej,8,5,3,1.0,26,pd,1.0,1.331,0.2859305394129745
1wt4mr7p6qdp72srb0u5esx0,1,2,3,1.0,19,pd,1.0,10.467,2.3482274508727468
1wt4mr7p6qdp72srb0u5esx0,2,2,3,1.0,20,pd,1.0,10.877,2.3866504681117133
1wt4mr7p6qdp72srb0u5esx0,3,3,3,1.0,15,pd,0.0,11.836,2.4711457345379633
1wt4mr7p6qdp72srb0u5esx0,4,3,3,1.0,10,pd,1.0,12.809,2.550148048848999
1wt4mr7p6qdp72srb0u5esx0,5,4,3,1.0,12,pd,0.0,4.198,1.4346082213984412
1wt4mr7p6qdp72srb0u5esx0,6,4,3,1.0,23,pd,1.0,19.466,2.968669354004302
1wt4mr7p6qdp72srb0u5esx0,7,5,3,1.0,14,pd,1.0,24.656,3.2050202785777597
1wt4mr7p6qdp72srb0u5esx0,8,5,3,1.0,26,pd,1.0,27.824,3.325898957611927
1zskm2bzi8y5p5g4j8qhpdz6,1,2,3,1.0,19,pd,1.0,7.679,2.0384893303484066
1zskm2bzi8y5p5g4j8qhpdz6,2,2,3,1.0,20,pd,1.0,12.67,2.5392369943330477
1zskm2bzi8y5p5g4j8qhpdz6,3,3,3,1.0,15,pd,0.0,10.463,2.34784522439891
1zskm2bzi8y5p5g4j8qhpdz6,4,3,3,1.0,10,pd,1.0,6.365,1.85081423200937
1zskm2bzi8y5p5g4j8qhpdz6,5,4,3,1.0,16,pd,1.0,14.126,2.6480170709867306
1zskm2bzi8y5p5g4j8qhpdz6,6,4,3,1.0,17,pd,0.0,18.27,2.9052603703899154
1zskm2bzi8y5p5g4j8qhpdz6,7,5,3,1.0,14,pd,1.0,15.79,2.7593768282675506
1zskm2bzi8y5p5g4j8qhpdz6,8,5,3,1.0,26,pd,0.0,16.391,2.7967324037072228
269f5wxawxko5vbndnerjhvt,1,2,3,1.0,19,pd,1.0,4.985,1.6064334034138017
269f5wxawxko5vbndnerjhvt,2,2,3,1.0,20,pd,1.0,6.574,1.8831224752420277
269f5wxawxko5vbndnerjhvt,3,3,3,1.0,11,pd,1.0,7.305,1.9885590452026627
269f5wxawxko5vbndnerjhvt,4,3,3,1.0,18,pd,0.0,9.531,2.254549643955489
269f5wxawxko5vbndnerjhvt,5,4,3,1.0,16,pd,1.0,7.779,2.051427795224637
269f5wxawxko5vbndnerjhvt,6,4,3,1.0,17,pd,1.0,8.687,2.1618276552777833
269f5wxawxko5vbndnerjhvt,7,5,3,1.0,52,pd,1.0,11.489,2.441390055871228
269f5wxawxko5vbndnerjhvt,8,5,3,1.0,59,pd,1.0,20.262,3.0087472106314856
2h7dpwlrhggmhm1t3amwo0oj,1,2,3,1.0,1,pd,1.0,4.422,1.4865920824352545
2h7dpwlrhggmhm1t3amwo0oj,2,2,3,1.0,6,pd,1.0,8.251,2.110334405122206
2h7dpwlrhggmhm1t3amwo0oj,3,3,3,1.0,11,pd,1.0,14.433,2.669517251385426
2h7dpwlrhggmhm1t3amwo0oj,4,3,3,1.0,18,pd,1.0,9.992,2.3017847728232765
2h7dpwlrhggmhm1t3amwo0oj,5,4,3,1.0,16,pd,1.0,11.407,2.434227202045761
2h7dpwlrhggmhm1t3amwo0oj,6,4,3,1.0,17,pd,1.0,18.512,2.9184191704513207
2h7dpwlrhggmhm1t3amwo0oj,7,5,3,1.0,52,pd,1.0,13.048,2.5686348653187125
2h7dpwlrhggmhm1t3amwo0oj,8,5,3,1.0,59,pd,0.0,23.185,3.143505517843424
2vx94rtcv5761j9exne2q7tc,1,2,3,1.0,19,pd,0.0,8.588,2.1503658800165346
2vx94rtcv5761j9exne2q7tc,2,2,3,1.0,20,pd,0.0,18.447,2.914901755639442
2vx94rtcv5761j9exne2q7tc,3,3,3,1.0,11,pd,0.0,18.133,2.8977334826718883
2vx94rtcv5761j9exne2q7tc,4,3,3,1.0,18,pd,1.0,17.643,2.8703391041459287
2vx94rtcv5761j9exne2q7tc,5,4,3,1.0,12,pd,1.0,17.35,2.8535925063928684
2vx94rtcv5761j9exne2q7tc,6,4,3,1.0,23,pd,1.0,9.405,2.2412414627529937
2vx94rtcv5761j9exne2q7tc,7,5,3,1.0,52,pd,0.0,28.809,3.3606878383239454
2vx94rtcv5761j9exne2q7tc,8,5,3,1.0,59,pd,0.0,28.986,3.3668129548003245
35aldkywb2cdl1crrf5iyowk,1,2,3,1.0,1,pd,1.0,1.934,0.6595903970311026
35aldkywb2cdl1crrf5iyowk,2,2,3,1.0,6,pd,1.0,5.535,1.7110915661606003
35aldkywb2cdl1crrf5iyowk,3,3,3,1.0,11,pd,0.0,11.029,2.4005281673240098
35aldkywb2cdl1crrf5iyowk,4,3,3,1.0,18,pd,0.0,9.014,2.1987789242684563
35aldkywb2cdl1crrf5iyowk,5,4,3,1.0,12,pd,0.0,5.752,1.7495476204187455
35aldkywb2cdl1crrf5iyowk,6,4,3,1.0,23,pd,1.0,5.465,1.698364121628502
35aldkywb2cdl1crrf5iyowk,7,5,3,1.0,14,pd,0.0,10.924,2.3909622036114584
35aldkywb2cdl1crrf5iyowk,8,5,3,1.0,26,pd,0.0,8.236,2.108514789165543
3d10c17cmj2694l83ha5s0bz,1,2,3,1.0,19,pd,1.0,8.697,2.162978138607628
3d10c17cmj2694l83ha5s0bz,2,2,3,1.0,20,pd,1.0,15.508,2.741356019808683
3d10c17cmj2694l83ha5s0bz,3,3,3,1.0,11,pd,0.0,16.538,2.805660763299975
3d10c17cmj2694l83ha5s0bz,4,3,3,1.0,18,pd,1.0,16.49,2.8027541365715076
3d10c17cmj2694l83ha5s0bz,5,4,3,1.0,12,pd,1.0,24.631,3.2040058122014723
3d10c17cmj2694l83ha5s0bz,6,4,3,1.0,23,pd,1.0,11.315,2.4261292790855005
3d10c17cmj2694l83ha5s0bz,7,5,3,1.0,14,pd,0.0,24.392,3.1942552096859536
3d10c17cmj2694l83ha5s0bz,8,5,3,1.0,26,pd,1.0,13.265,2.585128987589703
3ec999ycpel7dfncdwejf065,1,2,3,1.0,19,pd,1.0,8.711,2.164586594836755
3ec999ycpel7dfncdwejf065,2,2,3,1.0,20,pd,1.0,3.572,1.2731256630142527
3ec999ycpel7dfncdwejf065,3,3,3,1.0,15,pd,0.0,4.747,1.5575128395691809
3ec999ycpel7dfncdwejf065,4,3,3,1.0,10,pd,0.0,13.686,2.616373412530306
3ec999ycpel7dfncdwejf065,5,4,3,1.0,12,pd,0.0,9.131,2.211675217634203
3ec999ycpel7dfncdwejf065,6,4,3,1.0,23,pd,1.0,9.499,2.2511865299080456
3ec999ycpel7dfncdwejf065,7,5,3,1.0,14,pd,0.0,14.506,2.6745623569412205
3ec999ycpel7dfncdwejf065,8,5,3,1.0,26,pd,1.0,11.997,2.484656618532791
3pb65a6ips5u5tm3kthitq9r,1,2,3,1.0,1,pd,1.0,2.341,0.8505781885087738
3pb65a6ips5u5tm3kthitq9r,2,2,3,1.0,6,pd,1.0,14.601,2.681090019519427
3pb65a6ips5u5tm3kthitq9r,3,3,3,1.0,15,pd,1.0,23.307,3.1487537446363936
3pb65a6ips5u5tm3kthitq9r,4,3,3,1.0,10,pd,1.0,18.649,2.9257925253493093
3pb65a6ips5u5tm3kthitq9r,5,4,3,1.0,12,pd,1.0,16.941,2.8297367193588094
3pb65a6ips5u5tm3kthitq9r,6,4,3,1.0,23,pd,1.0,12.093,2.4926267728031384
3pb65a6ips5u5tm3kthitq9r,7,5,3,1.0,52,pd,,,
3pb65a6ips5u5tm3kthitq9r,8,5,3,1.0,59,pd,0.0,17.975,2.8889819036071103
47ykiekww9y3m9xiv79o4xp8,1,2,3,1.0,1,pd,1.0,2.711,0.9973175705165285
47ykiekww9y3m9xiv79o4xp8,2,2,3,1.0,6,pd,1.0,17.157,2.842406253601289
47ykiekww9y3m9xiv79o4xp8,3,3,3,1.0,15,pd,0.0,27.854,3.3269765826309
47ykiekww9y3m9xiv79o4xp8,4,3,3,1.0,10,pd,1.0,19.27,2.958549482426275
47ykiekww9y3m9xiv79o4xp8,5,4,3,1.0,16,pd,1.0,7.293,1.986914984002096
47ykiekww9y3m9xiv79o4xp8,6,4,3,1.0,17,pd,0.0,12.532,2.5282853730899455
47ykiekww9y3m9xiv79o4xp8,7,5,3,1.0,14,pd,1.0,16.967,2.8312702810608026
47ykiekww9y3m9xiv79o4xp8,8,5,3,1.0,26,pd,1.0,11.082,2.405322170445158
4fqdfdjmop2egr2j5gwum6dv,1,2,3,1.0,1,pd,1.0,4.023,1.392027892967651
4fqdfdjmop2egr2j5gwum6dv,2,2,3,1.0,6,pd,1.0,7.475,2.01156411927675
4fqdfdjmop2egr2j5gwum6dv,3,3,3,1.0,11,pd,1.0,24.555,3.200915499491208
4fqdfdjmop2egr2j5gwum6dv,4,3,3,1.0,18,pd,0.0,20.07,2.9992261628082466
4fqdfdjmop2egr2j5gwum6dv,5,4,3,1.0,16,pd,1.0,9.47,2.248128907197987
4fqdfdjmop2egr2j5gwum6dv,6,4,3,1.0,17,pd,1.0,22.676,3.1213070964620573
4fqdfdjmop2egr2j5gwum6dv,7,5,3,1.0,52,pd,1.0,17.473,2.8606568323569013
4fqdfdjmop2egr2j5gwum6dv,8,5,3,1.0,59,pd,0.0,18.434,2.9141967855714728
4usywut659xwn8vd8ebcvt9p,1,2,3,1.0,19,pd,0.0,8.942,2.190759277811789
4usywut659xwn8vd8ebcvt9p,2,2,3,1.0,20,pd,1.0,10.48,2.349468678892896
4usywut659xwn8vd8ebcvt9p,3,3,3,1.0,15,pd,1.0,10.532,2.354418241634063
4usywut659xwn8vd8ebcvt9p,4,3,3,1.0,10,pd,1.0,12.025,2.486987815991825
4usywut659xwn8vd8ebcvt9p,5,4,3,1.0,12,pd,0.0,14.629,2.683005859995949
4usywut659xwn8vd8ebcvt9p,6,4,3,1.0,23,pd,1.0,9.842,2.2866589424437866
4usywut659xwn8vd8ebcvt9p,7,5,3,1.0,14,pd,0.0,14.427,2.6691014509636353
4usywut659xwn8vd8ebcvt9p,8,5,3,1.0,26,pd,1.0,15.687,2.752832343874103
4zcrmlklswop6kcqvyc11gdc,1,2,3,1.0,19,pd,1.0,5.943,1.7822140563845235
4zcrmlklswop6kcqvyc11gdc,2,2,3,1.0,20,pd,0.0,5.655,1.732540109568084
4zcrmlklswop6kcqvyc11gdc,3,3,3,1.0,15,pd,1.0,5.655,1.732540109568084
4zcrmlklswop6kcqvyc11gdc,4,3,3,1.0,10,pd,1.0,8.647,2.1572124399782933
4zcrmlklswop6kcqvyc11gdc,5,4,3,1.0,16,pd,1.0,4.544,1.5138076814188501
4zcrmlklswop6kcqvyc11gdc,6,4,3,1.0,17,pd,0.0,5.784,1.7550954848564635
4zcrmlklswop6kcqvyc11gdc,7,5,3,1.0,52,pd,0.0,6.536,1.8773253575577018
4zcrmlklswop6kcqvyc11gdc,8,5,3,1.0,59,pd,0.0,6.654,1.895218177596285
58unjwdq1szxwtav4c281qfc,1,2,3,1.0,19,pd,1.0,12.214,2.502582834800943
58unjwdq1szxwtav4c281qfc,2,2,3,1.0,20,pd,0.0,12.279,2.5078904861783755
58unjwdq1szxwtav4c281qfc,3,3,3,1.0,15,pd,0.0,20.558,3.0232501595907304
58unjwdq1szxwtav4c281qfc,4,3,3,1.0,10,pd,1.0,12.207,2.502009557687663
58unjwdq1szxwtav4c281qfc,5,4,3,1.0,12,pd,0.0,15.615,2.748231990735042
58unjwdq1szxwtav4c281qfc,6,4,3,1.0,23,pd,1.0,10.591,2.360004583861532
58unjwdq1szxwtav4c281qfc,7,5,3,1.0,14,pd,0.0,12.76,2.546315277916644
58unjwdq1szxwtav4c281qfc,8,5,3,1.0,26,pd,1.0,8.768,2.1711087302056598
5ad0fxo4nksxnoxek6jnwpqh,1,2,3,1.0,19,pd,1.0,8.175,2.101080716783317
5ad0fxo4nksxnoxek6jnwpqh,2,2,3,1.0,20,pd,0.0,9.255,2.225163946025461
5ad0fxo4nksxnoxek6jnwpqh,3,3,3,1.0,11,pd,0.0,14.416,2.668338700865982
5ad0fxo4nksxnoxek6jnwpqh,4,3,3,1.0,18,pd,1.0,17.14,2.8414149131696336
5ad0fxo4nksxnoxek6jnwpqh,5,4,3,1.0,16,pd,1.0,18.014,2.891149233361551
5ad0fxo4nksxnoxek6jnwpqh,6,4,3,1.0,17,pd,0.0,13.455,2.5993507841788692
5ad0fxo4nksxnoxek6jnwpqh,7,5,3,1.0,14,pd,1.0,24.228,3.187508989118701
5ad0fxo4nksxnoxek6jnwpqh,8,5,3,1.0,26,pd,1.0,16.268,2.7891999880449783
5b8sbhwigddofjapft20c4tv,1,2,3,1.0,1,pd,1.0,5.504,1.7054751006310425
5b8sbhwigddofjapft20c4tv,2,2,3,1.0,6,pd,1.0,13.446,2.598681664046845
5b8sbhwigddofjapft20c4tv,3,3,3,1.0,11,pd,1.0,21.005,3.0447605046213453
5b8sbhwigddofjapft20c4tv,4,3,3,1.0,18,pd,1.0,12.119,2.4947744689863502
5b8sbhwigddofjapft20c4tv,5,4,3,1.0,12,pd,1.0,11.542,2.4459925562887745
5b8sbhwigddofjapft20c4tv,6,4,3,1.0,23,pd,1.0,11.016,2.399348761426354
5b8sbhwigddofjapft20c4tv,7,5,3,1.0,14,pd,0.0,16.737,2.817621837531501
5b8sbhwigddofjapft20c4tv,8,5,3,1.0,26,pd,1.0,22.926,3.132271637692818
5d6jhia7y3nyo741tjb9vlsk,1,2,3,1.0,19,pd,1.0,10.09,2.3115448343655176
5d6jhia7y3nyo741tjb9vlsk,2,2,3,1.0,20,pd,1.0,12.977,2.5631785597550936
5d6jhia7y3nyo741tjb9vlsk,3,3,3,1.0,15,pd,0.0,15.477,2.7393550509306226
5d6jhia7y3nyo741tjb9vlsk,4,3,3,1.0,10,pd,0.0,21.544,3.0700973555092976
5d6jhia7y3nyo741tjb9vlsk,5,4,3,1.0,12,pd,0.0,5.543,1.7125358704376676
5d6jhia7y3nyo741tjb9vlsk,6,4,3,1.0,23,pd,1.0,3.598,1.2803781355283412
5d6jhia7y3nyo741tjb9vlsk,7,5,3,1.0,14,pd,1.0,5.349,1.676909627549113
5d6jhia7y3nyo741tjb9vlsk,8,5,3,1.0,26,pd,1.0,4.188,1.4322232930082903
5rnza8evzb7drfy8beyioein,1,2,3,1.0,1,pd,1.0,3.709,1.3107622985074538
5rnza8evzb7drfy8beyioein,2,2,3,1.0,6,pd,1.0,14.284,2.659140029732202
5rnza8evzb7drfy8beyioein,3,3,3,1.0,11,pd,1.0,11.892,2.4758659051358514
5rnza8evzb7drfy8beyioein,4,3,3,1.0,18,pd,0.0,20.949,3.042090912532008
5rnza8evzb7drfy8beyioein,5,4,3,1.0,16,pd,1.0,7.806,2.054892668758423
5rnza8evzb7drfy8beyioein,6,4,3,1.0,17,pd,,,
5rnza8evzb7drfy8beyioein,7,5,3,1.0,14,pd,0.0,14.151,2.6497852929702344
5rnza8evzb7drfy8beyioein,8,5,3,1.0,26,pd,1.0,23.805,3.169895642646482
5t74t9y7ibglnlge2f71vyk2,1,2,3,1.0,1,pd,1.0,2.96,1.085189268335969
5t74t9y7ibglnlge2f71vyk2,2,2,3,1.0,6,pd,1.0,3.212,1.1668937960845154
5t74t9y7ibglnlge2f71vyk2,3,3,3,1.0,15,pd,0.0,3.237,1.1746469749441073
5t74t9y7ibglnlge2f71vyk2,4,3,3,1.0,10,pd,0.0,1.857,0.6189622823705687
5t74t9y7ibglnlge2f71vyk2,5,4,3,1.0,12,pd,0.0,2.876,1.0564004398588003
5t74t9y7ibglnlge2f71vyk2,6,4,3,1.0,23,pd,1.0,11.077,2.4048708865347956
5t74t9y7ibglnlge2f71vyk2,7,5,3,1.0,52,pd,0.0,8.279,2.113722188156669
5t74t9y7ibglnlge2f71vyk2,8,5,3,1.0,59,pd,0.0,3.802,1.3355272440662374
5xsiamm1cbvk38j2nigikj6i,1,2,3,1.0,19,pd,1.0,6.966,1.9410411719438094
5xsiamm1cbvk38j2nigikj6i,2,2,3,1.0,20,pd,0.0,5.459,1.6972656227996206
5xsiamm1cbvk38j2nigikj6i,3,3,3,1.0,11,pd,1.0,16.093,2.778384394836358
5xsiamm1cbvk38j2nigikj6i,4,3,3,1.0,18,pd,1.0,5.309,1.6694034936015345
5xsiamm1cbvk38j2nigikj6i,5,4,3,1.0,12,pd,0.0,6.729,1.906426544206181
5xsiamm1cbvk38j2nigikj6i,6,4,3,1.0,23,pd,1.0,6.322,1.844035613793426
5xsiamm1cbvk38j2nigikj6i,7,5,3,1.0,52,pd,1.0,4.948,1.5989834545302415
5xsiamm1cbvk38j2nigikj6i,8,5,3,1.0,59,pd,0.0,7.205,1.9747752294514853
6m37f5y8vcdo1b9utotly0oi,1,2,3,1.0,19,pd,0.0,5.613,1.7250853359600624
6m37f5y8vcdo1b9utotly0oi,2,2,3,1.0,20,pd,1.0,4.121,1.4160958523566805
6m37f5y8vcdo1b9utotly0oi,3,3,3,1.0,11,pd,0.0,4.426,1.487496241628858
6m37f5y8vcdo1b9utotly0oi,4,3,3,1.0,18,pd,0.0,2.831,1.0406300061297626
6m37f5y8vcdo1b9utotly0oi,5,4,3,1.0,12,pd,1.0,6.433,1.8614409924288633
6m37f5y8vcdo1b9utotly0oi,6,4,3,1.0,23,pd,0.0,5.588,1.7206214413947154
6m37f5y8vcdo1b9utotly0oi,7,5,3,1.0,14,pd,0.0,5.301,1.667895482005669
6m37f5y8vcdo1b9utotly0oi,8,5,3,1.0,26,pd,0.0,5.541,1.7121749898852128
6paqscjsfw9kpdn1lzg32po9,1,2,3,1.0,1,pd,1.0,2.807,1.0321162973797453
6paqscjsfw9kpdn1lzg32po9,2,2,3,1.0,6,pd,1.0,10.373,2.339206276449691
6paqscjsfw9kpdn1lzg32po9,3,3,3,1.0,15,pd,1.0,16.366,2.79520601210519
6paqscjsfw9kpdn1lzg32po9,4,3,3,1.0,10,pd,0.0,17.915,2.885638350756917
6paqscjsfw9kpdn1lzg32po9,5,4,3,1.0,16,pd,1.0,17.125,2.840539384148289
6paqscjsfw9kpdn1lzg32po9,6,4,3,1.0,17,pd,1.0,21.262,3.0569214418664137
6paqscjsfw9kpdn1lzg32po9,7,5,3,1.0,52,pd,0.0,23.156,3.142253926216758
6paqscjsfw9kpdn1lzg32po9,8,5,3,1.0,59,pd,0.0,18.493,2.9173922821027394
6yenwqo50hemozitvo738ila,1,2,3,1.0,1,pd,1.0,2.153,0.766862218382226
6yenwqo50hemozitvo738ila,2,2,3,1.0,6,pd,0.0,14.084,2.6450394012928062
6yenwqo50hemozitvo738ila,3,3,3,1.0,15,pd,0.0,18.235,2.9033428242606436
6yenwqo50hemozitvo738ila,4,3,3,1.0,10,pd,1.0,22.695,3.122144635908429
6yenwqo50hemozitvo738ila,5,4,3,1.0,16,pd,1.0,11.649,2.45522033941764
6yenwqo50hemozitvo738ila,6,4,3,1.0,17,pd,0.0,19.14,2.9517803860248084
6yenwqo50hemozitvo738ila,7,5,3,1.0,52,pd,0.0,27.952,3.330488753391701
6yenwqo50hemozitvo738ila,8,5,3,1.0,59,pd,0.0,16.733,2.8173828175124367
71e80tf73in7sys4sre6ajc3,1,2,3,1.0,1,pd,1.0,3.628,1.2886815322528902
71e80tf73in7sys4sre6ajc3,2,2,3,1.0,6,pd,1.0,9.057,2.2035379393928114
71e80tf73in7sys4sre6ajc3,3,3,3,1.0,15,pd,1.0,11.563,2.447810345146825
71e80tf73in7sys4sre6ajc3,4,3,3,1.0,10,pd,1.0,23.56,3.159550358783386
71e80tf73in7sys4sre6ajc3,5,4,3,1.0,16,pd,1.0,17.834,2.8811067477126877
71e80tf73in7sys4sre6ajc3,6,4,3,1.0,17,pd,1.0,17.492,2.8617436335506743
71e80tf73in7sys4sre6ajc3,7,5,3,1.0,14,pd,1.0,21.885,3.085801470642859
71e80tf73in7sys4sre6ajc3,8,5,3,1.0,26,pd,0.0,18.81,2.934388643312939
7c517gtaonz1mxh2s0meyyps,1,2,3,1.0,1,pd,1.0,2.641,0.9711576333149952
7c517gtaonz1mxh2s0meyyps,2,2,3,1.0,6,pd,0.0,9.408,2.241560391156271
7c517gtaonz1mxh2s0meyyps,3,3,3,1.0,11,pd,1.0,11.154,2.411798177967362
7c517gtaonz1mxh2s0meyyps,4,3,3,1.0,18,pd,0.0,16.157,2.7823533922946933
7c517gtaonz1mxh2s0meyyps,5,4,3,1.0,16,pd,1.0,7.724,2.044332364566268
7c517gtaonz1mxh2s0meyyps,6,4,3,1.0,17,pd,0.0,11.803,2.468353736446932
7c517gtaonz1mxh2s0meyyps,7,5,3,1.0,52,pd,0.0,8.313,2.1178205545489512
7c517gtaonz1mxh2s0meyyps,8,5,3,1.0,59,pd,0.0,11.722,2.4614674180542373
7gw2yagzw18akzx2c5jh8x0j,1,2,3,1.0,19,pd,0.0,2.449,0.8956797779700306
7gw2yagzw18akzx2c5jh8x0j,2,2,3,1.0,20,pd,0.0,5.494,1.703656587673082
7gw2yagzw18akzx2c5jh8x0j,3,3,3,1.0,15,pd,1.0,2.54,0.9321640810304452
7gw2yagzw18akzx2c5jh8x0j,4,3,3,1.0,10,pd,1.0,4.595,1.5249687558076503
7gw2yagzw18akzx2c5jh8x0j,5,4,3,1.0,12,pd,0.0,2.749,1.0112372091831088
7gw2yagzw18akzx2c5jh8x0j,6,4,3,1.0,23,pd,1.0,6.749,1.9093943457612694
7gw2yagzw18akzx2c5jh8x0j,7,5,3,1.0,14,pd,1.0,5.914,1.7773224214302854
7gw2yagzw18akzx2c5jh8x0j,8,5,3,1.0,26,pd,1.0,4.107,1.4126928349744217
7smbe5sw31ir72kkjh46hxb5,1,2,3,1.0,19,pd,1.0,7.057,1.9540200320186933
7smbe5sw31ir72kkjh46hxb5,2,2,3,1.0,20,pd,1.0,7.049,1.9528857627917386
