subject,trial,item,dimension,puzzle,choice,accuracy,rt
3640419,40,35,8,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T.jpeg,35_grid_triple__122112021120000000001010010001001022110101000100_shape_set_17_T3_paired_difference.jpeg,0,0.448
3646738,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_paired_difference.jpeg,1,6.458
3646738,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,2.934
3646738,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_minimal_difference.jpeg,1,5.032
3646738,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_minimal_difference.jpeg,1,2.27
3646738,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_paired_difference.jpeg,1,3.418
3646738,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_minimal_difference.jpeg,1,7.54
3646738,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_paired_difference.jpeg,1,4.339
3646738,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_minimal_difference.jpeg,1,3.124
3646738,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T1_minimal_difference.jpeg,1,15.171
3646738,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T1_paired_difference.jpeg,1,8.925
3646738,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_paired_difference.jpeg,1,9.588
3646738,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T3_minimal_difference.jpeg,0,4.057
3646738,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T1_paired_difference.jpeg,1,13.35
3646738,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T1_paired_difference.jpeg,1,10.859
3646738,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T1_paired_difference.jpeg,1,27.639
3646738,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T1_paired_difference.jpeg,1,23.498
3646738,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T1_paired_difference.jpeg,1,14.401
3646738,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T4_minimal_difference.jpeg,0,29.382
3646738,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T1_paired_difference.jpeg,1,25.499
3657502,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,2.515
3657502,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,2.117
3657502,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_minimal_difference.jpeg,1,3.452
3657502,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_minimal_difference.jpeg,1,2.08
3657502,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_minimal_difference.jpeg,1,4.745
3657502,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_paired_difference.jpeg,1,7.517
3657502,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_paired_difference.jpeg,1,5.758
3657502,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_paired_difference.jpeg,1,1.448
3657502,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T1_paired_difference.jpeg,1,10.868
3657502,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T1_paired_difference.jpeg,1,14.741
3657502,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_minimal_difference.jpeg,1,10.091
3657502,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T1_minimal_difference.jpeg,1,9.536
3657502,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T1_minimal_difference.jpeg,1,14.0
3657502,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T4_paired_difference.jpeg,0,15.684
3657502,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T2_paired_difference.jpeg,0,27.74
3657502,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T1_minimal_difference.jpeg,1,16.674
3657502,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T1_paired_difference.jpeg,1,15.601
3657502,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T2_paired_difference.jpeg,0,25.859
3657502,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T1_paired_difference.jpeg,1,17.539
3657502,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T3_paired_difference.jpeg,0,25.982
3658679,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,3.456
3658679,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_paired_difference.jpeg,1,1.518
3658679,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_minimal_difference.jpeg,1,3.242
3658679,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_paired_difference.jpeg,1,1.784
3658679,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_paired_difference.jpeg,1,3.01
3658679,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_paired_difference.jpeg,1,6.722
3658679,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T3_minimal_difference.jpeg,0,4.806
3658679,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_paired_difference.jpeg,1,2.102
3658679,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T2_paired_difference.jpeg,0,5.938
3658679,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T4_paired_difference.jpeg,0,7.436
3658679,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T2_paired_difference.jpeg,0,8.108
3658679,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T2_paired_difference.jpeg,0,10.345
3658679,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T2_minimal_difference.jpeg,0,12.466
3658679,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T3_paired_difference.jpeg,0,6.369
3658679,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T4_paired_difference.jpeg,0,6.434
3658679,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T1_minimal_difference.jpeg,1,10.738
3658679,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T3_minimal_difference.jpeg,0,11.169
3658679,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T3_paired_difference.jpeg,0,8.967
3658679,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T1_minimal_difference.jpeg,1,7.842
3658679,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T3_minimal_difference.jpeg,0,13.021
3658679,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T1_minimal_difference.jpeg,1,8.656
3658679,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T4_minimal_difference.jpeg,0,4.109
3658679,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T1_paired_difference.jpeg,1,14.192
3658679,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T1_paired_difference.jpeg,1,9.786
3658679,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T1_paired_difference.jpeg,1,8.498
3658679,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T1_paired_difference.jpeg,1,5.392
3658679,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T1_paired_difference.jpeg,1,9.728
3658679,28,42,4,42_double__1111101211021120_shape_set_20_T.jpeg,42_double__1111101211021120_shape_set_20_T2_minimal_difference.jpeg,0,9.331
3658679,29,14,5,14_triple__112110100000000010021222_shape_set_17_T.jpeg,14_triple__112110100000000010021222_shape_set_17_T4_paired_difference.jpeg,0,8.708
3661344,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T3_minimal_difference.jpeg,0,16.776
3661344,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_paired_difference.jpeg,1,2.666
3661344,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_minimal_difference.jpeg,1,2.673
3661344,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_minimal_difference.jpeg,1,2.56
3661344,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_paired_difference.jpeg,1,3.735
3661344,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_paired_difference.jpeg,1,1.839
3661344,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T2_paired_difference.jpeg,0,6.241
3661344,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T1_minimal_difference.jpeg,1,3.982
3661344,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_minimal_difference.jpeg,1,6.895
3661344,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T3_minimal_difference.jpeg,0,2.796
3661344,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T3_paired_difference.jpeg,0,6.254
3661344,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T3_paired_difference.jpeg,0,7.427
3661344,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T2_minimal_difference.jpeg,0,10.829
3661344,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T1_paired_difference.jpeg,1,13.114
3661344,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T4_paired_difference.jpeg,0,6.357
3661344,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T2_minimal_difference.jpeg,0,10.932
3661344,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T4_minimal_difference.jpeg,0,10.606
3661344,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T3_minimal_difference.jpeg,0,10.462
3661344,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T1_minimal_difference.jpeg,1,10.043
3661344,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T2_paired_difference.jpeg,0,9.508
3661344,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T3_paired_difference.jpeg,0,3.674
3661344,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T1_minimal_difference.jpeg,1,10.213
3669111,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,2.596
3669111,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_minimal_difference.jpeg,1,2.212
3669111,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_paired_difference.jpeg,1,4.99
3669111,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_minimal_difference.jpeg,1,1.731
3669111,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_paired_difference.jpeg,1,3.353
3669111,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_paired_difference.jpeg,1,2.802
3669111,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_paired_difference.jpeg,1,5.938
3669111,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_minimal_difference.jpeg,1,2.467
3669111,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T1_paired_difference.jpeg,1,7.61
3669111,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T4_minimal_difference.jpeg,0,5.313
3669111,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_minimal_difference.jpeg,1,10.229
3669111,12,22,2,22_single__112212211220_shape_set_4_T.jpeg,22_single__112212211220_shape_set_4_T1_paired_difference.jpeg,1,3.766
3669111,13,25,2,25_clockwork3_single__112110110000_shape_set_4_T.jpeg,25_clockwork3_single__112110110000_shape_set_4_T2_minimal_difference.jpeg,0,2.933
3669111,14,28,2,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T.jpeg,28_flower_double__0000122201000100000011220000020001000100_shape_set_4_T1_minimal_difference.jpeg,1,10.386
3669111,15,39,2,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T.jpeg,39_flower_double__0100010001000000122001000000010012120200_shape_set_20_T4_minimal_difference.jpeg,0,11.023
3669111,16,10,3,10_triple__000012221120010002000000_shape_set_4_T.jpeg,10_triple__000012221120010002000000_shape_set_4_T3_paired_difference.jpeg,0,8.03
3669111,17,11,3,11_grid_single__1220111101001121_shape_set_17_T.jpeg,11_grid_single__1220111101001121_shape_set_17_T2_minimal_difference.jpeg,0,7.427
3669111,18,13,3,13_flower_single__01001221122102001122_shape_set_4_T.jpeg,13_flower_single__01001221122102001122_shape_set_4_T2_minimal_difference.jpeg,0,6.009
3669111,19,15,3,15_double__0000110211121011_shape_set_20_T.jpeg,15_double__0000110211121011_shape_set_20_T1_minimal_difference.jpeg,1,12.683
3669111,20,18,3,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T.jpeg,18_flower_double__1022102200000100010000000200122101000000_shape_set_20_T1_minimal_difference.jpeg,1,7.034
3669111,21,27,3,27_double__1020020012121122_shape_set_20_T.jpeg,27_double__1020020012121122_shape_set_20_T1_minimal_difference.jpeg,1,11.883
3669111,22,31,3,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T.jpeg,31_flower_double__0200010011120100020012110000000002001102_shape_set_4_T2_minimal_difference.jpeg,0,13.748
3669111,23,12,4,12_double__1212102211111221_shape_set_20_T.jpeg,12_double__1212102211111221_shape_set_20_T3_minimal_difference.jpeg,0,10.398
3669111,24,16,4,16_grid_single__1012121112021101_shape_set_4_T.jpeg,16_grid_single__1012121112021101_shape_set_4_T1_paired_difference.jpeg,1,5.849
3669111,25,17,4,17_double__1222110111201012_shape_set_17_T.jpeg,17_double__1222110111201012_shape_set_17_T1_paired_difference.jpeg,1,7.866
3669111,26,23,4,23_grid_single__1110120212111121_shape_set_17_T.jpeg,23_grid_single__1110120212111121_shape_set_17_T1_minimal_difference.jpeg,1,4.265
3669111,27,40,4,40_grid_double__02000000010011100200020010211111_shape_set_4_T.jpeg,40_grid_double__02000000010011100200020010211111_shape_set_4_T4_minimal_difference.jpeg,0,7.16
3669111,28,42,4,42_double__1111101211021120_shape_set_20_T.jpeg,42_double__1111101211021120_shape_set_20_T3_minimal_difference.jpeg,0,5.503
3669111,29,14,5,14_triple__112110100000000010021222_shape_set_17_T.jpeg,14_triple__112110100000000010021222_shape_set_17_T1_minimal_difference.jpeg,1,9.246
3669111,30,26,5,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T.jpeg,26_grid_triple__000000000000112102000100020000000200000011221121_shape_set_17_T4_paired_difference.jpeg,0,6.756
3669111,31,52,5,52_flower_single__12121202111010011122_shape_set_4_T.jpeg,52_flower_single__12121202111010011122_shape_set_4_T1_paired_difference.jpeg,1,5.458
3677452,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,8.75
3677452,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T1_paired_difference.jpeg,1,19.709
3677452,3,4,1,4_flower_single__02001220000001000200_shape_set_4_T.jpeg,4_flower_single__02001220000001000200_shape_set_4_T1_minimal_difference.jpeg,1,22.679
3677452,4,5,1,5_grid_single__0000000010200000_shape_set_17_T.jpeg,5_grid_single__0000000010200000_shape_set_17_T1_paired_difference.jpeg,1,21.961
3677452,5,7,1,7_flower_single__01000200020012200200_shape_set_4_T.jpeg,7_flower_single__01000200020012200200_shape_set_4_T1_paired_difference.jpeg,1,22.276
3677452,6,8,1,8_grid_single__0100000000001111_shape_set_17_T.jpeg,8_grid_single__0100000000001111_shape_set_17_T1_minimal_difference.jpeg,1,22.232
3677452,7,9,1,9_flower_single__10020000020001000200_shape_set_20_T.jpeg,9_flower_single__10020000020001000200_shape_set_20_T1_minimal_difference.jpeg,1,25.147
3677452,8,1,2,1_single__101010001010_shape_set_4_T.jpeg,1_single__101010001010_shape_set_4_T1_minimal_difference.jpeg,1,25.031
3677452,9,6,2,6_single__121210101222_shape_set_20_T.jpeg,6_single__121210101222_shape_set_20_T3_minimal_difference.jpeg,0,27.418
3677452,10,19,2,19_single__101112201212_shape_set_4_T.jpeg,19_single__101112201212_shape_set_4_T3_minimal_difference.jpeg,0,26.218
3677452,11,20,2,20_double__1221010010220000_shape_set_17_T.jpeg,20_double__1221010010220000_shape_set_17_T1_minimal_difference.jpeg,1,28.435
3677764,1,2,1,2_double__0000020001001020_shape_set_17_T.jpeg,2_double__0000020001001020_shape_set_17_T1_minimal_difference.jpeg,1,6.6
3677764,2,3,1,3_clockwork3_single__000011010200_shape_set_20_T.jpeg,3_clockwork3_single__000011010200_shape_set_20_T3_minimal_difference.jpeg,0,5.992
