Group,Item,N,Mean.correct,SE.correct,RT.median.corr,RT.IQR.corr,IES
MA,17,179,57,4,16378,11897,28741
OA,17,173,61,4,13522,8299,22068
YA,17,182,51,4,12816,9540,25352
total,18,626,41,2,15692,11098,38223
Ad,18,102,47,5,17800,9606,37824
MA,18,173,40,4,14982,11752,37564
OA,18,170,48,4,15416,9815,32355
YA,18,181,33,3,15691,10744,48137
total,19,635,82,2,7902,5100,9631
Ad,19,105,91,3,8084,4808,8841
MA,19,181,83,3,8075,4545,9679
OA,19,170,86,3,7550,5131,8792
YA,19,179,72,3,7898,5438,11045
total,20,629,67,2,12114,7182,18099
Ad,20,105,89,3,13161,7101,14859
MA,20,180,67,4,11840,8357,17761
OA,20,167,71,4,11974,6274,16804
YA,20,177,50,4,11258,7313,22390
total,21,596,49,2,16676,9658,33691
Ad,21,98,71,5,17220,9525,24108
MA,21,176,47,4,16037,8080,34421
OA,21,154,58,4,16133,11076,27605
YA,21,168,32,4,16761,10494,53129
total,22,596,82,2,7713,4963,9362
Ad,22,105,92,3,7775,3449,8416
MA,22,176,84,3,7406,5192,8867
OA,22,149,85,3,8810,5432,10419
YA,22,166,73,3,6918,4375,9491
total,23,591,81,2,9847,6226,12226
Ad,23,105,94,2,10231,5282,10851
MA,23,173,79,3,9055,5529,11434
OA,23,147,82,3,10083,6526,12352
YA,23,166,72,3,10172,6587,14072
total,24,553,41,2,15723,11576,38303
Ad,24,94,56,5,21540,7887,38203
MA,24,165,40,4,15008,8025,37520
OA,24,135,39,4,16260,9503,42213
YA,24,159,35,4,11238,12968,31909
total,25,542,77,2,9358,7050,12135
Ad,25,102,89,3,9996,7220,11204
MA,25,156,79,3,8913,6669,11213
OA,25,128,76,4,9676,6079,12768
YA,25,156,68,4,8772,7272,12910
total,26,509,36,2,17140,10786,47674
Ad,26,95,51,5,20147,6726,39874
MA,26,146,36,4,13774,10688,38675
OA,26,117,35,4,17704,14284,50521
YA,26,151,28,4,13296,11037,47800
total,27,477,54,2,11507,8290,21275
Ad,27,94,73,5,12756,8099,17378
MA,27,137,53,4,10755,7087,20464
OA,27,104,50,5,13526,10466,27051
YA,27,142,46,4,9495,8434,20743
total,28,438,57,2,13086,7615,22928
Ad,28,88,75,5,14926,7702,19901
MA,28,125,54,4,11863,6693,22132
OA,28,95,59,5,12566,6409,21318
YA,28,130,47,4,11460,11280,24423
total,29,392,62,2,11622,8504,18748
Ad,29,77,83,4,12916,8403,15540
MA,29,107,57,5,12308,7655,21589
OA,29,81,70,5,11706,8066,16635
YA,29,127,48,4,9337,9519,19439
total,30,348,60,3,9362,5374,15663
Ad,30,73,85,4,10186,5853,11993
MA,30,90,53,5,9398,5486,17622
OA,30,71,76,5,8074,5586,10615
YA,30,114,39,5,9296,4873,24085
total,31,316,55,3,11404,7901,20711
Ad,31,69,75,5,14152,5930,18779
MA,31,81,52,6,10374,7073,20006
OA,31,64,55,6,13040,8092,23845
YA,31,102,44,5,8114,6132,18392
total,32,288,56,3,8090,6122,14472
Ad,32,58,84,5,8358,4870,9893
MA,32,81,46,6,8116,7478,17767
OA,32,57,60,7,9425,5762,15801
YA,32,92,45,5,6918,5953,15523
total,33,253,60,3,6414,3698,10675
Ad,33,46,74,7,6616,3768,8952
MA,33,68,56,6,6804,2820,12176
OA,33,57,72,6,6354,3703,8834
YA,33,82,48,6,5593,3792,11760
total,34,233,37,3,8640,8548,23139
Ad,34,41,73,7,11273,8041,15406
MA,34,61,20,5,8738,7037,44421
OA,34,50,46,7,10161,7281,22089
YA,34,81,27,5,3468,7486,12769
total,35,210,42,3,8321,8830,19857
Ad,35,33,70,8,12011,7342,17233
MA,35,51,35,7,5033,6817,14260
OA,35,46,41,7,11574,8619,28021
YA,35,80,35,5,5589,7108,15969
total,36,191,36,3,6836,8263,19203
Ad,36,28,75,8,11901,7975,15868
MA,36,48,23,6,8993,6530,39242
OA,36,40,38,8,6697,5705,17859
YA,36,75,28,5,3857,4186,13775
total,37,176,36,4,8496,9960,23735
Ad,37,24,58,10,15345,6116,26306
MA,37,47,17,6,4086,3056,24002
OA,37,38,50,8,10475,6392,20950
YA,37,67,33,6,5214,6696,15879
total,38,156,83,3,4240,2509,5087
Ad,38,20,85,8,4742,1711,5579
MA,38,42,74,7,4360,1593,5907
OA,38,32,94,4,3986,2320,4252
YA,38,62,84,5,3892,2772,4641
total,39,135,41,4,5448,7342,13372
Ad,39,17,41,12,11245,9824,27309
MA,39,36,50,8,5754,8546,11507
OA,39,27,44,10,7275,4588,16369
YA,39,55,33,6,3146,3835,9613
total,40,122,44,5,5020,4839,11341
Ad,40,16,62,12,7415,3299,11864
MA,40,35,37,8,7441,8818,20033
OA,40,22,59,11,3874,3402,6556
YA,40,49,37,7,4480,3796,12194
total,41,113,84,3,4248,2618,5053
Ad,41,16,100,0,3775,3801,3775
MA,41,33,88,6,4353,2734,4953
OA,41,22,86,7,4238,2462,4907
YA,41,42,74,7,4419,2310,5987
total,42,106,27,4,5674,6414,20739
Ad,42,15,33,13,10217,9429,30651
MA,42,32,31,8,5358,5271,17146
OA,42,18,22,10,7390,3991,33253
YA,42,41,24,7,3744,5012,15352
total,43,91,33,5,4720,4510,14319
Ad,43,14,50,14,5353,5286,10706
MA,43,27,26,9,2054,5054,7923
OA,43,15,47,13,4985,1904,10682
YA,43,35,26,7,1506,3436,5857
total,44,83,19,4,2424,4126,12574
Ad,44,13,38,14,6512,3756,16931
MA,44,23,13,7,1567,541,12014
OA,44,13,8,8,5163,0,67119
YA,44,34,21,7,1355,2388,6581
total,45,73,33,6,6316,7412,19210
Ad,45,12,50,15,8828,7997,17657
MA,45,23,43,11,5994,6058,13787
OA,45,11,36,15,8908,5915,24496
YA,45,27,15,7,1984,1589,13395
total,46,61,38,6,4185,5728,11099
Ad,46,10,60,16,4000,1192,6668
MA,46,19,42,12,2998,10086,7121
OA,46,9,22,15,6422,130,28897
YA,46,23,30,10,4559,6373,14980
total,47,57,21,5,5035,7364,23916
Ad,47,9,56,18,8387,4976,15097
MA,47,18,17,9,1222,513,7332
OA,47,8,12,12,6292,0,50336
YA,47,22,14,7,3778,4624,27705
total,48,49,33,7,2942,6569,9010
Ad,48,7,71,18,8043,5461,11260
MA,48,16,44,13,2607,4508,5959
OA,48,8,25,16,3498,2428,13990
YA,48,18,11,8,4570,2996,41126
total,49,47,47,7,4181,2674,8932
Ad,49,7,71,18,5139,3343,7195
MA,49,16,38,12,4942,3929,13180
OA,49,8,75,16,4181,460,5575
YA,49,16,31,12,3768,2983,12058
total,50,46,37,7,4021,4195,10880
Ad,50,7,57,20,4077,4494,7135
MA,50,17,12,8,7055,4600,59968
OA,50,7,43,20,6463,2936,15080
YA,50,15,53,13,3068,2712,5753
total,51,41,29,7,5712,3462,19516
Ad,51,6,17,17,3937,0,23622
MA,51,14,14,10,9686,3520,67806
OA,51,6,67,21,7386,2127,11078
YA,51,15,33,13,2391,3665,7173
total,52,35,37,8,1757,2072,4730
Ad,52,6,33,21,3293,1998,9879
MA,52,12,25,13,1539,563,6156
OA,52,6,50,22,1215,905,2430
YA,52,11,45,16,3287,1425,7231
total,53,30,20,7,1286,1058,6432
Ad,53,6,17,17,971,0,5826
MA,53,9,33,17,1130,653,3390
OA,53,6,17,17,7107,0,42642
YA,53,9,11,11,1443,0,12987
total,54,30,13,6,1612,1382,12094
Ad,54,6,0,0,NA,NA,NA
MA,54,10,20,13,775,371,3875
OA,54,6,17,17,3131,0,18786
YA,54,8,12,12,2079,0,16632
total,55,28,36,9,2770,3133,7755
Ad,55,6,83,17,4228,3431,5074
MA,55,9,44,18,706,464,1587
OA,55,5,20,20,3431,0,17155
YA,55,8,0,0,NA,NA,NA
total,56,25,20,8,1726,1443,8630
Ad,56,5,20,20,3938,0,19690
MA,56,9,33,17,1367,1232,4101
OA,56,3,33,33,1726,0,5178
YA,56,8,0,0,NA,NA,NA
total,57,21,43,11,4151,2261,9686
Ad,57,5,60,24,4258,3954,7097
MA,57,6,33,21,5076,3947,15228
OA,57,3,33,33,5515,0,16545
YA,57,7,43,20,3254,893,7593
total,58,21,43,11,3836,2070,8951
Ad,58,5,60,24,7001,1552,11668
MA,58,7,43,20,2357,1962,5500
OA,58,3,33,33,3836,0,11508
YA,58,6,33,21,3518,164,10554
total,59,20,25,10,2806,3091,11224
Ad,59,5,20,20,2806,0,14030
MA,59,6,17,17,5040,0,30240
OA,59,3,0,0,NA,NA,NA
YA,59,6,50,22,1880,1690,3760
total,60,14,50,14,1944,1010,3888
Ad,60,4,75,25,1989,3438,2652
MA,60,4,75,25,1944,724,2592
OA,60,3,33,33,1272,0,3816
YA,60,3,0,0,NA,NA,NA
total,61,16,12,9,1590,1312,12724
Ad,61,3,0,0,NA,NA,NA
MA,61,6,33,21,1590,1312,4772
OA,61,3,0,0,NA,NA,NA
YA,61,4,0,0,NA,NA,NA
total,62,15,27,12,5922,4046,22208
Ad,62,3,0,0,NA,NA,NA
MA,62,4,75,25,4575,4050,6100
OA,62,3,33,33,7269,0,21807
YA,62,5,0,0,NA,NA,NA
total,63,14,14,10,4792,3122,33540
Ad,63,3,0,0,NA,NA,NA
MA,63,4,0,0,NA,NA,NA
OA,63,3,33,33,1670,0,5010
YA,63,4,25,25,7913,0,31652
total,64,11,36,15,1010,452,2779
Ad,64,2,0,0,NA,NA,NA
MA,64,4,25,25,827,0,3308
OA,64,2,100,0,1522,390,1522
YA,64,3,33,33,890,0,2670
total,65,9,11,11,849,0,7641
Ad,65,2,0,0,NA,NA,NA
MA,65,3,33,33,849,0,2547
OA,65,2,0,0,NA,NA,NA
YA,65,2,0,0,NA,NA,NA
total,66,9,22,15,1194,636,5375
Ad,66,2,0,0,NA,NA,NA
MA,66,3,33,33,1830,0,5490
OA,66,2,50,50,559,0,1118
YA,66,2,0,0,NA,NA,NA
total,67,8,25,16,768,59,3072
Ad,67,2,50,50,827,0,1654
MA,67,3,33,33,709,0,2127
OA,67,2,0,0,NA,NA,NA
YA,67,1,0,NA,NA,NA,NA
total,68,6,100,0,1964,527,1964
Ad,68,2,100,0,2172,332,2172
MA,68,2,100,0,2015,745,2015
OA,68,2,100,0,1964,56,1964
YA,68,0,NA,NA,NA,NA,NA
total,69,7,57,20,3776,1369,6608
Ad,69,2,100,0,2469,1175,2469
MA,69,2,0,0,NA,NA,NA
OA,69,2,50,50,3908,0,7816
YA,69,1,100,NA,5978,0,5978
total,70,8,50,19,3495,1420,6990
Ad,70,2,100,0,3626,777,3626
MA,70,3,33,33,2597,0,7791
OA,70,2,50,50,4141,0,8282
YA,70,1,0,NA,NA,NA,NA
total,71,6,50,22,4439,2121,8878
Ad,71,1,100,NA,4439,0,4439
MA,71,2,50,50,709,0,1418
OA,71,2,50,50,4951,0,9902
YA,71,1,0,NA,NA,NA,NA
total,72,5,40,24,1164,689,2910
Ad,72,1,100,NA,1853,0,1853
MA,72,2,50,50,475,0,950
OA,72,1,0,NA,NA,NA,NA
YA,72,1,0,NA,NA,NA,NA
total,73,6,17,17,1033,0,6198
Ad,73,1,100,NA,1033,0,1033
MA,73,2,0,0,NA,NA,NA
OA,73,2,0,0,NA,NA,NA
YA,73,1,0,NA,NA,NA,NA
total,74,4,50,29,4274,3827,8548
Ad,74,0,NA,NA,NA,NA,NA
MA,74,1,0,NA,NA,NA,NA
OA,74,2,50,50,447,0,894
YA,74,1,100,NA,8101,0,8101
total,75,6,50,22,989,524,1978
Ad,75,0,NA,NA,NA,NA,NA
MA,75,3,33,33,251,0,753
OA,75,2,50,50,1300,0,2600
YA,75,1,100,NA,989,0,989
total,76,4,75,25,507,327,676
Ad,76,0,NA,NA,NA,NA,NA
MA,76,2,100,0,774,327,774
OA,76,1,100,NA,507,0,507
YA,76,1,0,NA,NA,NA,NA
total,77,3,33,33,455,0,1365
Ad,77,0,NA,NA,NA,NA,NA
MA,77,2,0,0,NA,NA,NA
OA,77,1,100,NA,455,0,455
YA,77,0,NA,NA,NA,NA,NA
total,78,4,25,25,631,0,2524
Ad,78,0,NA,NA,NA,NA,NA
MA,78,2,50,50,631,0,1262
OA,78,1,0,NA,NA,NA,NA
YA,78,1,0,NA,NA,NA,NA
total,79,5,0,0,NA,NA,NA
Ad,79,0,NA,NA,NA,NA,NA
MA,79,3,0,0,NA,NA,NA
OA,79,1,0,NA,NA,NA,NA
YA,79,1,0,NA,NA,NA,NA
total,80,3,33,33,640,0,1920
Ad,80,0,NA,NA,NA,NA,NA
MA,80,3,33,33,640,0,1920
OA,80,0,NA,NA,NA,NA,NA
YA,80,0,NA,NA,NA,NA,NA
