subject,total_time,age,gender-categorical,gender-free-response,ethnicity,race,education
k1ifw77ij6huwmsv54ssahr2,1.5932333333333335,22,Female,,Not Hispanic or Latino,['White'],Bachelor degree
k4021dlxnmkquyizv6gjbe8f,2.669,37,Male,,Hispanic or Latino,['White'],Bachelor degree
k5r8zyrt60gbiya0rqllldee,3.7327500000000002,23,Female,,Not Hispanic or Latino,['White'],Bachelor degree
k8dbel0hjcn8mthghho5pclb,1.4832333333333334,33,Female,,Not Hispanic or Latino,['White'],Bachelor degree
k9undyo19khqlh5022zgeubt,5.991116666666667,43,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
ke0bzw04mt5wiwciak9x8px5,2.0651333333333333,33,Male,,Not Hispanic or Latino,['White'],Bachelor degree
kfno018tzphxukrw3hznhl6b,1.2888333333333333,28,Male,,Not Hispanic or Latino,['White'],Bachelor degree
kltfud9cd9tg4sb4od1z8ib1,1.7171166666666666,40,Female,,Not Hispanic or Latino,['White'],Master degree or higher
kne02r0ef01jtjaz8oegm4e2,5.3966,58,Male,,Not Hispanic or Latino,['White'],Bachelor degree
kueeomc1gdxng0g9wf80nmkh,3.321966666666667,45,Female,,Not Hispanic or Latino,['White'],High school
kv683zj2q4uxh23bzyw2i9nj,2.063216666666667,31,Female,,Not Hispanic or Latino,['White'],Associate degree
l0n6q3ifgz910fqxoi6vuds4,2.1854500000000003,40,Male,,Not Hispanic or Latino,"['American Indian/Alaska Native', 'White']",High school
l9fw7uzr1yh5hc8sr6u2i9bq,3.684833333333333,47,Male,,Not Hispanic or Latino,['White'],Bachelor degree
m4latujdqhb0fa9jlo0po324,1.6828333333333334,28,Male,,Not Hispanic or Latino,['White'],Bachelor degree
m8lnn9ww484u7daprzliwsms,2.4443166666666665,33,Male,,Not Hispanic or Latino,['White'],High school
mnogoa63pdgk5mcbo4tjshqx,3.2853,59,Female,,Not Hispanic or Latino,['White'],Master degree or higher
mo64hmd74j361z4s51gqpbq5,3.033916666666667,35,Male,,Not Hispanic or Latino,['White'],High school
n010u6xtj8uwo8ruehi3fz19,3.580366666666667,54,Female,,Not Hispanic or Latino,['White'],Associate degree
n2jg76vpczghdr0htoiuyq87,7.323733333333334,29,Male,,Not Hispanic or Latino,['White'],Associate degree
n4bmbnrp5quihkg03i2j2mbe,2.75625,24,Female,,Not Hispanic or Latino,['White'],Some college
n5jmmm60g0laqqk7sark6dwq,5.024683333333333,44,Female,,Not Hispanic or Latino,['White'],Bachelor degree
n9t9dhsih2wqxyvss2s0flkz,1.8488499999999999,38,Female,,Not Hispanic or Latino,['Asian'],Associate degree
nfuyluc7usjl6icx8b9o3xn0,1.69775,29,Male,,Not Hispanic or Latino,['White'],High school
nk8s4khwfbh5lp5a7i99tb1m,3.666716666666667,36,Female,,Not Hispanic or Latino,['Black or African American'],Some college
nl9o6qwgvf9xydryv86o98ot,1.8932833333333334,36,Male,,Not Hispanic or Latino,['White'],Bachelor degree
nqpcgnf33a2t327z5hwm4bfs,2.2828999999999997,36,Male,,Not Hispanic or Latino,['White'],Bachelor degree
ntwcxhglf5m7chxycp10gy4b,2.92435,36,Male,,Hispanic or Latino,['White'],Bachelor degree
nwnm7jjlm7nnxxyzcci5o6kx,2.7747666666666664,69,Female,,Not Hispanic or Latino,['White'],Some college
nynyg75n4le93u2h70uvtfvr,1.1346166666666666,24,Male,,Not Hispanic or Latino,['White'],Bachelor degree
o37ptzs09vzng6tseo9vrsff,3.1077500000000002,69,Female,,Not Hispanic or Latino,['White'],High school
o5p8cho9vuif1ht234wea7lj,1.3521333333333334,26,Male,,Not Hispanic or Latino,['Black or African American'],Bachelor degree
o94rktohjg5n5pji7idpj3ne,3.37265,28,Male,,Not Hispanic or Latino,['White'],High school
oe507xuw2kbu750010sj0pk3,2.4646166666666667,34,Male,,Not Hispanic or Latino,['White'],High school
ofunde9ez9f8jpp0ol2bzfeb,2.565116666666667,28,Male,,Not Hispanic or Latino,['Asian'],Master degree or higher
opn52u47032uy5s4bqtq4thp,2.4933833333333335,26,Male,,Not Hispanic or Latino,['White'],Bachelor degree
opq8ltjs54l84mznb4j7poie,2.9321833333333336,32,Male,,Not Hispanic or Latino,['White'],Some college
p22gffsvhq7t6s5j5z3jhsoj,2.9512500000000004,27,Female,,Not Hispanic or Latino,['Asian'],Bachelor degree
p233f40aj2ompblg0np7ck05,2.333666666666667,36,Female,,Not Hispanic or Latino,['White'],Associate degree
p4wk3mkf18i32bq9fmhqgqxm,2.7006333333333337,27,Male,,Not Hispanic or Latino,['White'],Bachelor degree
p8ngi1qy0tgt2613jz8ju482,3.6189666666666667,62,Male,,Not Hispanic or Latino,['White'],High school
pdp0sjilpxro3n4ai3ziwy9l,2.773,33,Female,,Not Hispanic or Latino,['White'],High school
pgiebczhtlpklswe11sq6yun,3.75405,42,Female,,Not Hispanic or Latino,['White'],Associate degree
pjspp9sgkpyn2kh3sh4mqhgm,2.3383166666666666,39,Male,,Not Hispanic or Latino,['White'],High school
pyz9lk7me91x9ehbw3oiyqd7,1.4914666666666667,26,Male,,Not Hispanic or Latino,['White'],Bachelor degree
q3layilcyvnfn92z2xlu2njq,3.3650499999999997,55,Male,,Not Hispanic or Latino,['White'],Associate degree
qbulyg8ke67tb1x8xuecwhi4,1.9252833333333332,29,Female,,Not Hispanic or Latino,['White'],Associate degree
qz3cypz22zf4di7y9yj1uuur,2.438216666666667,32,Male,,Not Hispanic or Latino,['White'],High school
s62sytaf6l5lm2fdeumsed7n,0.7782666666666667,25,Male,,Not Hispanic or Latino,['White'],Bachelor degree
s69v6c39uejlekaa0wd3n6gv,2.659066666666667,56,Female,,Not Hispanic or Latino,['White'],High school
s6qdrc38m24k85lsun809tm1,5.60435,28,Female,,Not Hispanic or Latino,['White'],Some college
s814fvyx3xtxgoh26lu2xo0o,1.8105333333333333,35,Male,,Not Hispanic or Latino,['White'],Some college
sagqv1lehfgbzqedwjaoa251,3.479633333333333,27,Male,,Not Hispanic or Latino,['Asian'],Bachelor degree
sr24x05xbcfpp407vazkqlrz,1.50625,30,Male,,Hispanic or Latino,['White'],Some college
t40o3iej643eic2dnq824zbo,3.5258833333333333,55,Female,,Not Hispanic or Latino,['White'],Associate degree
t88l62m5luc73cw4o1ue30nz,1.2750833333333333,30,Male,,Not Hispanic or Latino,['White'],Associate degree
t9d3r4e94iufm1ah305ebkha,3.0386,28,Male,,Not Hispanic or Latino,['White'],Bachelor degree
tx3bx0nov1zafxqgq5qxd3ov,3.87155,48,Male,,Not Hispanic or Latino,['White'],Bachelor degree
u14cqkb3zem2awe3nc6gek7c,0.9077166666666667,25,Male,,Not Hispanic or Latino,['White'],High school
ulw69hgebw64mbud6y4skmnm,8.182916666666667,29,Male,,Not Hispanic or Latino,['White'],High school
v55aoqnaqxifjonrej1e94qo,2.5907,48,Male,,Not Hispanic or Latino,['White'],High school
veifenknm2exp55wkymimhgq,2.1956166666666665,26,Female,,Not Hispanic or Latino,['White'],Bachelor degree
vmjfhqsa104plen4ymhhb54j,5.550583333333334,28,Female,,Not Hispanic or Latino,['White'],High school
w32b9rodpxgsg5wncn0r2hqe,3.98415,53,Male,,Not Hispanic or Latino,['White'],Some college
w8ybcy6j8oex2oif8n1si4kq,3.1242666666666667,49,Male,,Not Hispanic or Latino,['White'],Bachelor degree
wedqa75qtxrnh46824tn6jbk,2.38525,36,Male,,Not Hispanic or Latino,['White'],Some college
whp1eqbn0x2dxh7by3nk2dda,2.9210333333333334,27,Female,,Not Hispanic or Latino,['White'],Bachelor degree
wjrrapbor7p9s1y6swwqel6g,3.6374833333333334,49,Female,,Not Hispanic or Latino,['White'],Bachelor degree
wmd7phtdpm131ssmim16a09r,2.806033333333333,38,Male,,Not Hispanic or Latino,['White'],Bachelor degree
wocr3thfx6cm41pyjjzkb4lo,3.3878,58,Female,,Not Hispanic or Latino,['White'],Some college
wrbi4z8vg5zmwa3cniznq7kr,1.9425166666666667,35,Male,,Not Hispanic or Latino,['White'],Associate degree
wz2ndcdxilb4q81ykcq4809w,4.06235,33,Female,,Hispanic or Latino,['White'],Some college
wzfis0ja2uu2ozc3erzrlron,2.635866666666667,61,Female,,Not Hispanic or Latino,['White'],Bachelor degree
x95sri0tbypb9ga34bql9gpc,3.31375,45,Male,,Not Hispanic or Latino,['White'],Bachelor degree
x9yinwmoyajxhbzo6k7xc2an,4.042316666666667,39,Male,,Not Hispanic or Latino,['Black or African American'],High school
xdbs345yx1gy374scqd6b0o9,2.7498,59,Female,,Not Hispanic or Latino,['White'],Bachelor degree
xtenn66s2r66unn451ffd0gn,2.1197,46,Male,,Not Hispanic or Latino,['White'],High school
yeyf5cr0oz08obuk9slyam10,3.01465,30,Female,,Not Hispanic or Latino,['White'],High school
ykfd3p7e4j5s36ksscm33dzz,3.541916666666667,35,Male,,Not Hispanic or Latino,['White'],Bachelor degree
yo56smy7qaae5qs2l8ztx4r4,3.3272666666666666,60,Male,,Not Hispanic or Latino,['White'],Some college
yo8bylaza1b280dbu1btk185,3.6510666666666665,67,Male,,Not Hispanic or Latino,['White'],Associate degree
yu4r9iioam431s56hlzdhd5x,2.2875666666666663,27,Female,,Not Hispanic or Latino,['White'],Bachelor degree
z4msps7pfz5irt5s4nno460i,2.983816666666667,25,Male,,Not Hispanic or Latino,['White'],Associate degree
zoo463f39bz7mlyxt7ivk9ob,2.421966666666667,27,Female,,Not Hispanic or Latino,['White'],Bachelor degree
zpib9xtiih76osu2o6qm0yus,1.34135,24,Female,,Not Hispanic or Latino,['White'],Bachelor degree
zzml755kuw69m5au8z6wt0lg,3.212216666666667,43,Female,,Not Hispanic or Latino,['White'],High school
